GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2403507-001,2929,2338,1903,109,258,39,20,0,435
2403501-001,2601,1955,1563,244,106,43,12,6,392
2400301-008,3087,2453,1864,155,239,69,118,3,589
2403502-001,4795,3689,3043,152,355,66,46,4,646
2401901-001,1827,1469,1241,37,145,24,21,5,228
2401901-002,13,5,5,0,0,0,0,0,0
2401915-001,2487,1903,1524,68,262,36,17,3,379
2401915-003,1992,1519,595,54,827,34,17,0,924
2401907-011,57,48,36,1,9,0,3,0,12
2401907-005,307,251,97,7,147,0,0,0,154
2401913-001,242,193,180,6,3,4,2,2,13
2401907-010,364,261,101,1,146,0,13,0,160
2401909-001,637,538,472,17,31,8,9,4,66
2401907-006,3053,2589,2159,143,237,47,45,4,430
2401907-007,751,562,234,27,288,5,10,1,328
2401907-003,697,623,546,16,25,24,11,0,77
2404101-002,7441,6071,4428,698,737,106,135,6,1643
2404103-001,3160,2518,1887,117,434,28,43,2,631
24041ZZZZZZ,1,1,1,0,0,0,0,0,0
2451027-005,3090,2450,1003,59,1296,49,51,7,1447
2451027-018,3705,3329,1233,153,1127,61,815,8,2096
2451027-025,1516,1238,42,21,1159,17,16,1,1196
2451008-001,123,102,59,2,38,2,2,0,43
2400504-007,6651,5250,2476,486,1827,81,459,9,2774
2400504-010,3264,2576,1107,252,934,58,256,5,1469
2400509-019,3532,2816,1472,257,854,52,199,10,1344
2400509-015,3942,3225,1436,156,1201,69,389,3,1789
2400509-017,2239,1687,829,145,592,17,115,1,858
2400502-011,7575,5615,632,267,4523,91,201,11,4983
2400502-030,544,448,264,17,136,4,25,0,184
2400514-010,3421,2782,1426,183,798,55,323,2,1356
2400515-011,4944,3696,2152,326,986,127,119,3,1544
2403109-027,5026,3972,2768,288,255,19,598,5,1204
2403109-013,5175,3810,1901,403,379,44,1076,8,1909
2403106-013,2578,1978,1098,165,145,25,531,6,880
2403104-006,3914,3145,1350,1027,258,101,485,0,1795
2403104-001,6976,5452,1927,1589,992,156,944,10,3525
2403104-005,5602,4392,1632,935,477,85,1310,3,2760
2403109-001,10301,7745,1478,3197,1923,256,1127,19,6267
2403109-020,3490,2789,687,939,535,59,601,9,2102
2403109-032,1525,1038,137,502,283,42,119,6,901
2403113-018,4453,3229,1201,1071,709,136,268,5,2028
2403104-020,5100,3843,2550,203,136,25,864,1,1293
2403104-042,18,14,6,1,1,0,7,0,8
2403104-029,1907,1472,371,49,119,6,913,1,1101
2403104-016,6363,5016,2637,417,528,47,1391,7,2379
2403104-023,364,297,126,11,29,0,126,0,171
2403109-002,10042,7706,1724,3085,1700,193,1192,25,5982
2403109-010,1433,1217,490,186,213,22,315,3,727
2403109-038,481,430,351,31,14,6,24,2,79
2403109-036,3755,2897,803,746,580,75,745,4,2094
2403109-016,8088,5751,733,2212,1242,138,1571,5,5018
2403109-015,5788,4626,1072,1311,1389,144,859,11,3554
2403109-028,1319,1286,1118,53,67,13,49,11,168
2403107-008,6657,5849,3762,530,456,59,1022,3,2087
2403105-003,6863,5383,1334,1464,1830,126,790,5,4049
2403105-013,9854,7003,420,1552,4659,136,447,9,6583
2403105-005,4401,3448,962,636,1494,75,350,6,2486
2403104-036,4,2,0,2,0,0,0,0,2
2403104-034,2412,1914,1221,212,144,30,284,4,693
2403104-041,0,0,0,0,0,0,0,0,0
2403106-015,5978,4418,1218,315,579,55,2267,7,3200
2403106-007,6219,4802,1733,507,917,42,1619,12,3069
2403106-011,124,98,60,4,22,3,13,0,38
2403106-003,3115,2410,1493,206,167,36,510,5,917
2403106-005,4890,3693,2285,222,296,18,844,4,1408
2403106-016,3,3,3,0,0,0,0,0,0
2403109-003,5154,3757,913,1239,756,95,807,9,2844
2403102-003,6629,5111,1526,1079,1673,124,838,12,3585
2403102-001,7554,5847,1679,650,1281,82,2196,20,4168
2403102-008,9447,6929,2361,901,1505,81,2166,6,4568
2403102-005,5187,4155,1942,832,936,70,431,4,2213
2403102-004,8189,6348,2056,1126,1951,122,1171,8,4292
2403113-002,9468,7234,1740,1427,2560,129,1528,15,5494
2403113-030,5916,4536,658,2848,596,192,446,16,3878
2403113-029,5488,4235,972,1931,711,167,642,7,3263
2403113-027,4606,3630,1471,1110,511,65,518,4,2159
